dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
global,NCT04456634,"Assess Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Profile of Ruxolitinib With Artemether-lumefantrine",OTHER,TREATMENT,DRUG | OTHER,8,2,1,1,Australia,,False,2020-09-10,2020-11-17,2021-07-09,68,234,84,True,True,True,False,34694880,,,97.22,53.05,54.61,73.24
global,NCT02083406,Bioavailability Study of Oral OZ439 Prototype Formulations Administered With Piperaquine Phosphate (PQP),OTHER,TREATMENT,DRUG,22,3,1,1,United Kingdom,,False,2014-07-01,2014-07-01,2015-03-23,0,265,116,True,True,False,False,,,,98.06,46.25,55.03,71.32
global,NCT03637517,Malaria: Relative Bioavailability and Food Effect of DSM265,OTHER,OTHER,DRUG,42,3,1,1,United States,,False,2018-10-03,2018-11-19,2020-03-11,47,478,49,True,True,False,False,,,,86.39,44.02,49.2,64.12
global,NCT05930782,Piperaquine Granule Formulation Relative Bioavailability and Food Effect Study in Healthy Volunteers.,OTHER,PREVENTION,DRUG,60,5,1,1,Tanzania,Tanzania,True,2023-08-14,2023-12-06,2025-03-06,114,456,49,True,True,False,False,,,,86.11,36.8,49.05,61.44
africa,NCT05930782,Piperaquine Granule Formulation Relative Bioavailability and Food Effect Study in Healthy Volunteers.,OTHER,PREVENTION,DRUG,60,5,1,1,Tanzania,Tanzania,True,2023-08-14,2023-12-06,2025-03-06,114,456,49,True,True,False,False,,,,86.11,36.8,49.05,61.44
global,NCT01958619,Open Label Pharmacokinetic Study of OZ439 and Piperaquine on Administration of OZ439+TPGS Granules for Oral Suspension Alone or With Either Piperaquine Phosphate Tablets or Granules for Oral Solution in Healthy Volunteers,OTHER,TREATMENT,DRUG,55,4,1,1,United Kingdom,,False,2013-10-01,2014-01-01,2015-04-21,92,475,-6,False,True,False,False,,,,84.72,39.44,42.36,60.4
africa,NCT04940130,PfSPZ Vaccine Trial in Malian Children,INDUSTRY,PREVENTION,BIOLOGICAL | OTHER,290,2,1,1,Mali,Mali,True,2022-04-01,2022-12-10,2024-02-07,253,424,302,True,True,False,False,,,,79.72,41.39,45.86,59.53
global,NCT01732588,"A Comparison of the Bioavailability of OZ439 When Delivered Directly to the Small Intestine, or Via the Oral Route",OTHER,BASIC_SCIENCE,DRUG,11,3,1,1,United Kingdom,,False,2012-11-01,2012-12-01,2015-02-13,30,804,10,True,True,False,False,,,,73.61,46.94,42.8,58.11
global,NCT01853475,Healthy Volunteer Study of the Pharmacokinetics of Oral Piperaquine With OZ439 + TPGS Formulation in the Fasted State,OTHER,TREATMENT,DRUG,24,3,1,1,United Kingdom,,False,2013-04-01,2013-07-01,2015-04-08,91,646,-39,False,True,False,False,,,,76.39,45.69,38.2,58.01
africa,NCT03810014,Malaria Diagnostic Testing and Conditional Subsidies to Target ACTs in the Retail Sector: the TESTsmART Trial AIM 1,OTHER,HEALTH_SERVICES_RESEARCH,OTHER,842,4,1,1,Kenya,Kenya,True,2019-03-28,2019-10-31,2020-11-12,217,378,71,True,True,True,False,36600353,,,87.22,25.14,49.61,57.97
global,NCT04848688,Efficacy and Safety of Moxidectin Versus Ivermectin Against Strongyloides Stercoralis,OTHER,TREATMENT,DRUG,332,2,1,1,Cambodia,,False,2022-02-05,2022-07-17,2024-01-24,162,556,303,True,True,True,False,37949090,,,77.78,39.58,44.89,57.83
global,NCT01713608,A Dose-escalation Study to Investigate Safety and Toleration of OZ439,OTHER,BASIC_SCIENCE,DRUG,34,3,1,1,United Kingdom,,False,2012-11-01,2013-02-01,2015-03-23,92,780,10,True,True,False,False,,,,72.22,45.0,42.11,56.67
global,NCT03162614,"Efficacy, Immunogenicity and Safety Study of GSK Biologicals' Candidate Malaria Vaccine Evaluating Different Dose Schedules in a Sporozoite Challenge Model in Healthy Malaria-naïve Adults",INDUSTRY,PREVENTION,BIOLOGICAL | PROCEDURE,154,6,1,1,United States,,False,2017-05-24,2018-07-09,2019-07-24,411,380,9,True,True,True,False,32687161|39377226,,,77.78,33.05,44.89,55.55
